Packet_Length,Timestamp,TCP_Flags,Flow_ID,Source_IP,Destination_IP,Protocol,Source_IP_Encoded,Destination_IP_Encoded,Protocol_Encoded,Anomaly
198,2025-03-19 10:49:57.353118,0x0018,192.168.1.238_192.168.1.88_TCP,192.168.1.238,192.168.1.88,TCP,4,3,0,Anomaly
54,2025-03-19 10:49:57.416166,0x0010,192.168.1.88_192.168.1.238_TCP,192.168.1.88,192.168.1.238,TCP,7,2,0,Anomaly
75,2025-03-19 10:50:21.807520,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:50:21.807713,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:50:21.807911,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:50:21.807930,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:50:21.807941,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:50:21.807954,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:50:21.807964,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:50:22.114354,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
80,2025-03-19 10:50:22.114627,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:50:22.115313,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
52,2025-03-19 10:50:34.095370,,192.168.1.254_224.0.0.1_None,192.168.1.254,224.0.0.1,,5,4,2,Anomaly
54,2025-03-19 10:50:34.463231,,192.168.1.238_224.0.0.22_None,192.168.1.238,224.0.0.22,,4,5,2,Anomaly
75,2025-03-19 10:51:22.019001,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:51:22.019234,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:51:22.019552,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:51:22.019571,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:51:22.019581,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:51:22.019592,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:51:22.019601,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:51:22.019610,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
80,2025-03-19 10:51:22.019665,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:51:22.019676,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
93,2025-03-19 10:51:33.999855,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:51:34.307005,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:51:34.614177,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
383,2025-03-19 10:51:34.921766,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Anomaly
319,2025-03-19 10:51:34.923243,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
81,2025-03-19 10:52:12.092791,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:12.092984,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:12.093176,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:12.093193,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:12.093204,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:52:21.923158,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:52:21.923379,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:52:21.923574,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:52:21.923591,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:52:21.923603,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:52:21.923615,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:52:21.923625,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
189,2025-03-19 10:52:22.230545,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
80,2025-03-19 10:52:22.231335,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:52:22.231449,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
52,2025-03-19 10:52:39.126451,,192.168.1.254_224.0.0.1_None,192.168.1.254,224.0.0.1,,5,4,2,Anomaly
81,2025-03-19 10:52:41.902328,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:41.902530,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:41.902724,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:41.902742,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:52:41.902754,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
54,2025-03-19 10:52:46.207243,,192.168.1.238_224.0.0.22_None,192.168.1.238,224.0.0.22,,4,5,2,Anomaly
81,2025-03-19 10:53:11.997251,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:53:11.997442,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:53:11.997633,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:53:11.997651,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:53:11.997661,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
85,2025-03-19 10:53:20.905808,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
85,2025-03-19 10:53:21.827430,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
75,2025-03-19 10:53:22.134578,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:53:22.134743,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:53:22.135015,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
75,2025-03-19 10:53:22.135030,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:53:22.135039,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:53:22.135049,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
70,2025-03-19 10:53:22.135057,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
80,2025-03-19 10:53:22.135064,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
120,2025-03-19 10:53:22.135072,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
189,2025-03-19 10:53:22.135080,,192.168.1.100_224.0.0.251_UDP,192.168.1.100,224.0.0.251,UDP,2,6,1,Normal
234,2025-03-19 10:53:34.730029,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:53:35.037049,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:53:35.037397,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
93,2025-03-19 10:53:35.344466,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
383,2025-03-19 10:53:35.651893,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Anomaly
319,2025-03-19 10:53:35.652699,,192.168.1.88_224.0.0.251_UDP,192.168.1.88,224.0.0.251,UDP,7,6,1,Normal
81,2025-03-19 10:54:12.208434,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
81,2025-03-19 10:54:12.208628,,192.168.1.254_224.0.0.251_UDP,192.168.1.254,224.0.0.251,UDP,5,6,1,Normal
